Densidad;Humedad;Probabilidad
2.04;7.91;0
2.08;9.07;0
2.04;6.98;0
2.04;6.98;0
2.04;6.98;0
1.61;8.9;1
1.61;9.1;0
2.04;8.32;0
1.66;8.1;0
1.61;9.1;0
2.12;7.35;0
2.94;6.76;0
2.12;7.35;1
2.94;6.76;0
2.12;7.35;0
2.08;7.98;0
1.78;6.9;1
1.61;9;0
2.38;6.48;0
1.82;6.48;0
1.82;6.48;0
1.82;6.48;0
2.04;9.39;0
2;8.6;1
1.69;7.04;1
2.04;9.39;1
2.04;9.39;0
2.04;9.19;0
1.39;6.85;0
2.13;6.68;0
1.47;8.5;0
1.45;6.73;0
1.45;6.73;0
1.47;8.5;0
1.69;8.6;0
2.7;6.19;0
2.7;6.19;0
1.96;8.17;0
2;7.87;0
2.12;6.79;0
1.75;8.9;0
1.75;8.9;0
1.69;8.5;0
1.69;8.5;1
2.04;8.02;1
1.79;7;1
1.75;8.3;0
1.96;8.23;0
2.04;8.04;0
1.88;7.86;0
3.23;5.83;0
1.42;6.3;0
2;7.16;0
2;7.16;0
1.85;8.4;0
1.35;8.33;0
2.08;5.87;0
2.04;6.67;0
2.04;6.67;0
1.75;6;0
1.75;9.4;0
1.69;7.4;0
1.79;7.7;0
1.59;6.7;0
1.96;9.28;0
2.04;9.08;0
1.81;9.8;0
1.81;9.8;1
2.04;8.2;1
2.77;6.03;0
2.77;6.03;0
1.4;7.37;0
1.42;7.2;0
1.42;7.2;0
1.51;7.37;0
1.31;7.32;0
2.77;5.63;0
1.72;7.1;0
1.58;8.1;0
1.58;8.1;0
1.72;7.1;0
1.31;10.83;0
1.39;7.77;0
1.39;7.77;0
2.04;6.87;0
2.56;7.31;0
2.13;7.1;1
2.17;6.09;0
2;6.12;0
2.04;7.93;0
1.56;6.8;0
2.22;7.4;0
1.96;6.9;0
2.17;8.13;0
1.56;6.8;0
1.59;5.6;0
2.04;7.26;0
2.17;6.64;0
2.27;7.17;0
2.17;7.77;0
3.03;6.46;0
2.04;5.89;0
2.22;7.24;0
2.08;7.01;0
2;7.35;0
2;7.35;0
1.47;7.46;0
1.54;7.45;0
1.52;7.69;0
1.3;6.28;0
1.54;7.45;0
1.47;7.46;0
1.52;6.11;0
2.17;7.92;0
1.51;7.1;0
2.17;7.58;0
2.17;7.58;0
2.08;5.96;0
2.08;5.96;0
2.08;5.96;0
2.08;5.96;0
2.04;6.63;0
